text,label
Win a free iPhone now click here,spam
Meeting scheduled for Monday at 10am,ham
Claim your prize money today urgent,spam
Can we reschedule our lunch tomorrow,ham
Congratulations you have been selected,spam
Please review the attached report,ham
Limited time offer buy now cheap,spam
Thanks for sending the project notes,ham
Get rich quick with this secret method,spam
Looking forward to seeing you Friday,ham
Your account has been compromised act now,spam
The team standup starts at nine,ham
Exclusive deal just for you unsubscribe,spam
I finished the draft please check,ham
You won the lottery transfer fees required,spam
Reminder about the dentist appointment,ham
Free entry in a weekly competition to win tickets,spam
Nah I do not think he goes to usf he lives nearby,ham
Winner as a valued customer you receive a prize,spam
Even my brother does not like to speak with me,ham
Urgent you have won a free membership jackpot,spam
I am going to be home soon and do not want to talk,ham
Call now to claim your cash reward today,spam
Did you finish reading the chapter I sent,ham
Lowest price guaranteed click this promo link,spam
Lets grab coffee after the afternoon meeting,ham
Your bank account needs verification immediately,spam
Mom asked if we are coming for dinner Sunday,ham
Earn thousands working from home no experience,spam
The package should arrive by Thursday morning,ham
Act now exclusive VIP access expires tonight,spam
Can you pick up groceries on your way home,ham
Congratulations your mobile number won a gift,spam
I will send the slides before the presentation,ham
Hot singles in your area chat for free now,spam
Please confirm the booking for next Tuesday,ham
Double your money with this investment tip,spam
The kids have soccer practice at five today,ham
Final notice unpaid invoice click to pay now,spam
Thanks again for helping me move last weekend,ham
