month,covers_served,avg_ticket_usd,revenue_usd
2016-01-01,3086,51.35,160844.52
2016-02-01,2960,49.93,143943.74
2016-03-01,3181,52.78,167836.76
2016-04-01,3101,54.75,172420.82
2016-05-01,3458,55.41,193399.35
2016-06-01,3437,54.51,183757.92
2016-07-01,3833,54.07,206484.05
2016-08-01,3434,56.01,191743.9
2016-09-01,3105,53.46,167760.5
2016-10-01,3447,54.9,190870.87
2016-11-01,3874,53.89,206631.04
2016-12-01,4173,56.22,239903.33
2017-01-01,3173,53.24,166144.92
2017-02-01,3065,55.56,172141.29
2017-03-01,3209,55.2,177550.19
2017-04-01,3438,56.34,194563.12
2017-05-01,3742,55.44,208656.07
2017-06-01,3890,53.39,206359.27
2017-07-01,3765,54.81,205224.08
2017-08-01,4012,54.5,222888.36
2017-09-01,3051,55.11,168687.92
2017-10-01,3659,56.98,211797.92
2017-11-01,3610,55.44,203572.68
2017-12-01,4524,55.04,243357.17
2018-01-01,3197,56.88,182363.35
2018-02-01,3224,55.44,179305.3
2018-03-01,3594,56.03,203211.45
2018-04-01,3453,56.14,192371.41
2018-05-01,3573,57.72,204297.43
2018-06-01,3962,57.97,231728.3
2018-07-01,4183,57.3,237656.73
2018-08-01,3904,54.94,208278.06
2018-09-01,3267,55.78,183690.3
2018-10-01,3563,57.02,208441.34
2018-11-01,3789,58.92,219079.32
2018-12-01,4746,57.24,269819.0
2019-01-01,3667,55.23,204288.07
2019-02-01,3312,56.87,182906.04
2019-03-01,3673,57.39,211774.4
2019-04-01,3753,60.79,227052.71
2019-05-01,3786,58.97,224242.75
2019-06-01,4441,60.22,269345.83
2019-07-01,4562,57.38,258418.24
2019-08-01,3925,58.61,223710.28
2019-09-01,3790,58.66,215781.57
2019-10-01,3720,59.79,226147.1
2019-11-01,4455,63.92,287123.77
2019-12-01,4786,57.23,275369.32
2020-01-01,3544,58.93,206291.22
2020-02-01,3412,61.09,209093.78
2020-03-01,3812,58.38,215090.73
2020-04-01,3841,60.06,238847.35
2020-05-01,4217,61.94,258592.65
2020-06-01,4107,59.29,239972.12
2020-07-01,4939,59.71,299853.23
2020-08-01,4126,62.37,259319.88
2020-09-01,3827,60.7,229256.77
2020-10-01,4207,60.41,247915.24
2020-11-01,3981,61.59,252933.33
2020-12-01,5330,62.06,332670.71
2021-01-01,4133,61.67,252787.35
2021-02-01,3808,61.92,243033.72
2021-03-01,4072,59.89,237198.96
2021-04-01,4475,64.53,287734.95
2021-05-01,4315,64.47,272028.71
2021-06-01,4379,63.52,275958.86
2021-07-01,4685,62.53,294930.92
2021-08-01,4857,62.94,309636.62
2021-09-01,3635,62.52,223427.55
2021-10-01,4057,61.61,248281.48
2021-11-01,4670,61.19,285932.36
2021-12-01,5417,63.61,351485.88
2022-01-01,4183,65.18,271805.43
2022-02-01,3657,62.78,230699.94
2022-03-01,4274,61.96,265296.3
2022-04-01,4390,67.58,307812.5
2022-05-01,4423,63.72,273584.62
2022-06-01,4671,64.91,310506.78
2022-07-01,4742,63.67,288956.82
2022-08-01,4726,63.09,295006.15
2022-09-01,4066,64.32,252331.32
2022-10-01,4204,68.01,278552.2
2022-11-01,4432,67.83,318089.13
2022-12-01,5488,65.48,361809.03
2023-01-01,4647,63.59,294053.12
2023-02-01,4133,65.66,269331.21
2023-03-01,4418,63.43,278898.85
2023-04-01,4497,66.06,293772.38
2023-05-01,4965,67.59,336627.54
2023-06-01,5143,66.44,341701.5
2023-07-01,4981,67.07,333425.65
2023-08-01,5526,68.99,384180.73
2023-09-01,4295,64.73,284638.47
2023-10-01,4826,67.48,314295.7
2023-11-01,5152,67.7,341044.25
2023-12-01,5976,68.41,409247.15
2024-01-01,4425,66.87,294408.55
2024-02-01,4209,69.17,276191.57
2024-03-01,4615,67.72,314377.93
2024-04-01,4696,65.05,307478.69
2024-05-01,5533,65.75,370079.87
2024-06-01,5220,68.26,348813.88
2024-07-01,5335,70.54,380716.32
2024-08-01,5708,70.39,405314.5
2024-09-01,5097,69.05,357776.02
2024-10-01,4927,68.86,334540.88
2024-11-01,5426,67.27,370718.29
2024-12-01,6366,71.81,464007.54
2025-01-01,5145,70.13,349474.41
2025-02-01,4371,67.21,290729.76
2025-03-01,5275,70.44,366376.95
2025-04-01,4770,69.77,324705.41
2025-05-01,5168,70.56,373079.86
2025-06-01,5742,66.97,386882.57
2025-07-01,5717,71.27,420621.1
2025-08-01,4947,69.8,349381.41
2025-09-01,4533,72.66,331794.28
2025-10-01,5474,69.97,389249.47
2025-11-01,5718,71.45,410466.39
2025-12-01,6839,70.86,483181.66
